epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8059,0,14.4793,0,0,0,0,0,0,0,0,0.00332926,0.00332926,0.00332926
2,120.177,0,0,0,0,0,0,0,0,0,0,0.00659663,0.00659663,0.00659663
